link,title,description,cleaned_description
https://www.dawn.com/videos,Videos - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/popular,Popular - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/newspaper,Archive - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawnrelief.com/,Dawn Relief for Floods - DAWN.COM,"We are now gearing up to rebuild devastated settlements with homes, schools and a drinking water supply scheme.",we are now gearing up to rebuild devastated settlements with homes schools and a drinking water supply scheme
https://www.dawn.com/live/elections-2024#1822566,Live Updates: Elections 2024 - DAWN.COM,Live Updates: Elections 2024,live updates elections 
https://www.dawn.com/live/elections-2024#1822564,Live Updates: Elections 2024 - DAWN.COM,Live Updates: Elections 2024,live updates elections 
https://www.dawn.com/live/elections-2024#1822561,Live Updates: Elections 2024 - DAWN.COM,Live Updates: Elections 2024,live updates elections 
https://www.dawn.com/news/1834849/pti-spokesperson-raoof-hasan-injured-in-islamabad-attack,PTI spokesperson Raoof Hasan injured in Islamabad attack - Pakistan - DAWN.COM,"Party says he was attacked outside office of private media channel; Islamabad police say Hasan attacked by transgender persons, as per eyewitnesses.",party says he was attacked outside office of private media channel islamabad police say hasan attacked by transgender persons as per eyewitnesses
https://www.dawn.com/news/1832070/pti-says-dg-isprs-press-conference-full-of-contradictions-devoid-of-rationale,"PTI says DG ISPR’s press conference ‘full of contradictions, devoid of rationale’ - Pakistan - DAWN.COM","Party spokesperson Raoof Hasan says ""venom"" towards his party is not right for the state, society or relationship with institutions.",party spokesperson raoof hasan says venom towards his party is not right for the state society or relationship with institutions
https://www.dawn.com/news/1833668/on-eve-of-imrans-sc-appearance-pti-raises-concerns-about-adiala-jail-security,"On eve of Imran’s SC appearance, PTI raises concerns about Adiala Jail security - Pakistan - DAWN.COM","Raoof Hasan claims meetings with legal counsel, party leaders have been banned ahead of PTI founder’s court-mandated appearance.",raoof hasan claims meetings with legal counsel party leaders have been banned ahead of pti founders courtmandated appearance
https://www.dawn.com/news/1826469/military-establishment-has-no-other-option-but-to-have-dialogue-with-imran-ptis-raoof-hasan,Military establishment has ‘no other option’ but to have dialogue with Imran: PTI’s Raoof Hasan - Pakistan - DAWN.COM,"Says party has an ""open stance"" and is ready to hold talks.",says party has an open stance and is ready to hold talks
https://www.dawn.com/news/1834848/over-80-civil-society-bodies-journalists-reject-draconian-and-regressive-punjab-defamation-bill,"Over 80 civil society bodies, journalists reject ‘draconian and regressive’ Punjab Defamation Bill - Pakistan - DAWN.COM","Call it gross infringement on fundamental rights of freedom of expression, press freedom.",call it gross infringement on fundamental rights of freedom of expression press freedom
https://www.dawn.com/news/1834838/ihcs-justice-kayani-says-agencies-can-only-assist-govt-probes-seeks-clarity-on-operational-methods,"IHC’s Justice Kayani says agencies can only ‘assist’ govt probes, seeks clarity on ‘operational methods’ - Pakistan - DAWN.COM",Praises Attorney General of Pakistan Mansoor Awan for hard work that helped recover missing Baloch students.,praises attorney general of pakistan mansoor awan for hard work that helped recover missing baloch students
https://www.dawn.com/live/gaza-invasion,Live Updates: Gaza invasion - DAWN.COM,Live Updates: Gaza invasion,live updates gaza invasion
https://www.dawn.com/news/1834842/heatwave-sindh-rules-out-early-summer-vacations-for-schools-says-holidays-to-begin-from-june-1,"Heatwave: Sindh rules out early summer vacations for schools, says holidays to begin from June 1 - Pakistan - DAWN.COM",Punjab government has already announced early start of summer vacation from May 25 for all public and private schools.,punjab government has already announced early start of summer vacation from may  for all public and private schools
https://www.dawn.com/news/1834839/singapore-airlines-flight-hits-severe-turbulence-one-passenger-dead-7-critically-injured,"Singapore Airlines flight hits severe turbulence, one passenger dead, 7 critically injured - World - DAWN.COM","Eighteen people have been hospitalised and 12 are being treated in hospitals, Singapore Airlines says.",eighteen people have been hospitalised and  are being treated in hospitals singapore airlines says
https://www.dawn.com/news/1834854/serial-winner-kroos-eyes-two-trophy-finish-to-career,Serial winner Kroos eyes two-trophy finish to career - Sport - DAWN.COM,Euros will be the last time the 2014 World Cup winner takes the field competitively.,euros will be the last time the  world cup winner takes the field competitively
https://www.dawn.com/news/1834821/iranians-pay-last-respects-to-late-president-raisi-killed-in-helicopter-crash,Iranians pay last respects to late president Raisi killed in helicopter crash - World - DAWN.COM,"Mourners walk behind lorry carrying coffins of Raisi and those who died with him, including foreign minister Hossein Amir-Abdollahian.",mourners walk behind lorry carrying coffins of raisi and those who died with him including foreign minister hossein amirabdollahian
https://www.dawn.com/news/1834824/india-shuts-schools-as-temperatures-soar,India shuts schools as temperatures soar - World - DAWN.COM,"Weather bureau has warned of “severe heatwave conditions” this week, with mercury reaching 47.4 degrees Celsius in Najafgarh on Monday.",weather bureau has warned of severe heatwave conditions this week with mercury reaching  degrees celsius in najafgarh on monday
https://www.dawn.com/news/1834715/two-killed-four-injured-in-islamabad-as-car-runs-over-protesters-in-their-sleep,"Two killed, four injured in Islamabad as car runs over protesters in their sleep - Pakistan - DAWN.COM","Case registered against driver, who was arrested after speeding away from ""Save Gaza"" protest.",case registered against driver who was arrested after speeding away from save gaza protest
https://www.youtube.com/c/DawnNewsEnglish,DawnNews English - YouTube,"Infinite News. Instant Insight. Dawn News English - your window into the latest developments, and analysis from across the world. Official Facebook: https://...",infinite news instant insight dawn news english  your window into the latest developments and analysis from across the world official facebook https
https://www.youtube.com/watch?v=ZkhEvPMEqTI,"World Reacts To ICC Seeking Israel, Hamas Arrest Warrants | Dawn News English - YouTube",Reactions pour in as International Criminal Court seeks arrest warrants for top Israeli and Hamas leaders over alleged war crimes. Israeli officials reject c...,reactions pour in as international criminal court seeks arrest warrants for top israeli and hamas leaders over alleged war crimes israeli officials reject c
https://www.youtube.com/watch?v=QMxWV3JQ66k,Order For Arrest Of Israeli Prime Minister | America Statement | Zara Hat Kay | Dawn News - YouTube,Order For Arrest Of Israeli Prime Minister | America Statement | Zara Hat Kay | Dawn Newsÿßÿ≥ÿ±ÿßÿ¶€åŸÑ€å Ÿàÿ≤€åÿ± ÿßÿπÿ∏ŸÖ ⁄©€å ⁄Øÿ±ŸÅÿ™ÿßÿ±€å ⁄©ÿß ÿßÿπŸÑÿßŸÜ ŸÅ€åÿµŸÑ€í Ÿæÿ± ÿßŸÖÿ±€å⁄©ÿß ⁄©ÿß ÿ®€åÿßŸÜ ÿ≥ÿßŸÖŸÜ€í...,order for arrest of israeli prime minister  america statement  zara hat kay  dawn news            
https://www.youtube.com/watch?v=-UuBalBAZJg,World Reacts To Ebrahim Raisi's Death | Dawn News English - YouTube,World leaders have expressed condolences following the death of Iranian President Ebrahim Raisi and other officials in a helicopter crash.China‚Äôs President X...,world leaders have expressed condolences following the death of iranian president ebrahim raisi and other officials in a helicopter crashchinas president x
https://www.youtube.com/watch?v=kMEW_54KBBI,"Exclusive: Amnesty International Sec-Gen Criticises US, Russia For Disregard Of International Law - YouTube",The Universal Declaration of Human Rights and the International Covenant on Civil and Political Rights are very clear; civilians should not be tried by milit...,the universal declaration of human rights and the international covenant on civil and political rights are very clear civilians should not be tried by milit
https://www.youtube.com/watch?v=umGvBHM-fk8,Top Stories: Netanyahu Arrest | Kashmiri Poet Case | Heat Wave | Iran Mourns | Dawn News English - YouTube,ùêÉùêöùê∞ùêß ùêçùêûùê∞ùê¨ ùêÑùêßùê†ùê•ùê¢ùê¨ùê°'ùê¨ ùêìùê®ùê© ùêçùêûùê∞ùê¨ ùêíùê≠ùê®ùê´ùê¢ùêûùê¨ - your ultimate source for staying informed and up to date with the most significant news ...,       your ultimate source for staying informed and up to date with the most significant news 
https://www.youtube.com/watch?v=_YFRfKobWS0,Mohammad Mokhber: Iran's Interim President | Dawn News English - YouTube,"Here are some key facts about Mohammad Mokhber, 68, Iran’s first vice president who, based on the country’s constitution, is expected to become interim presi...",here are some key facts about mohammad mokhber  irans first vice president who based on the countrys constitution is expected to become interim presi
https://www.youtube.com/watch?v=9IXsj6AFCms,Who Was Ebrahim Raisi? | Profile | Iran | Iranian President | Dawn News English - YouTube,"Ebrahim Raisi became president of Iran in June 2021, succeeding the moderate Hassan Rouhani. His tenure has been marked by social unrest and economic difficu...",ebrahim raisi became president of iran in june  succeeding the moderate hassan rouhani his tenure has been marked by social unrest and economic difficu
https://www.youtube.com/watch?v=ZMkbbp_QZGI,Top Stories: Iran President Ebrahim Raisi's Helicopter 'Crashes Upon Landing' | Dawn News English - YouTube,ùêÉùêöùê∞ùêß ùêçùêûùê∞ùê¨ ùêÑùêßùê†ùê•ùê¢ùê¨ùê°'ùê¨ ùêìùê®ùê© ùêçùêûùê∞ùê¨ ùêíùê≠ùê®ùê´ùê¢ùêûùê¨ - your ultimate source for staying informed and up to date with the most significant news ...,       your ultimate source for staying informed and up to date with the most significant news 
https://www.dawn.com/must-read,Must Read - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/news/1832653/explainer-understanding-the-wheat-crisis-in-pakistan,Explainer: Understanding the wheat ‘crisis’ in Pakistan - Business - DAWN.COM,We try to unpack why farmers are protesting and what the government is doing and should do so to address their concerns.,we try to unpack why farmers are protesting and what the government is doing and should do so to address their concerns
https://www.dawn.com/news/1834815/trial-and-punishment-what-do-arrest-warrants-at-the-icc-mean-for-israel-hamas,"Trial and punishment: What do arrest warrants at the ICC mean for Israel, Hamas - World - DAWN.COM","For the first time, an international criminal tribunal is likely to charge a head of state supported by the West.",for the first time an international criminal tribunal is likely to charge a head of state supported by the west
https://www.dawn.com/news/1834783,Iranian tragedy - Newspaper - DAWN.COM,"Due to Iran’s regional and geopolitical influence, the world will be watching the power transition carefully.",due to irans regional and geopolitical influence the world will be watching the power transition carefully
https://images.dawn.com/news/1192458/internet-split-after-learning-amal-clooney-assisted-in-arrest-warrants-sought-for-israeli-hamas-leaders,"Internet split after learning Amal Clooney assisted in arrest warrants sought for Israeli, Hamas leaders - Comment - Images","While some are praising the human rights lawyer and apologising for criticising her silence on Palestine, others are calling her out for 'two side-ism'.",while some are praising the human rights lawyer and apologising for criticising her silence on palestine others are calling her out for two sideism
https://www.dawn.com/news/1834786/suppose-modi-took-a-dna-test,Suppose Modi took a DNA test - Pakistan - DAWN.COM,"South Asia, we are given to understand, is home to one of the most diverse assemblages of people in the world.",south asia we are given to understand is home to one of the most diverse assemblages of people in the world
https://www.dawn.com/news/1834787,Budgeting without people - Newspaper - DAWN.COM,"Even though the economy is a critical issue, discussions about it involve a select few who are not really interested in communicating with the people.",even though the economy is a critical issue discussions about it involve a select few who are not really interested in communicating with the people
https://aurora.dawn.com/news/1145100/zabardasti-ki-baat,Zabardasti Ki Baat - Aurora,"Rather than mirror society, advertising should strive to change it, argues Atiya Zaidi.",rather than mirror society advertising should strive to change it argues atiya zaidi
https://www.dawn.com/news/1834643/esteemed-statesmen-world-mourns-loss-of-iran-president-fm-in-tragic-air-crash,"‘Esteemed statesmen’: World mourns loss of Iran president, FM in ‘tragic’ air crash - World - DAWN.COM","President Zardari mourns ""tragic death"" of Pakistan's ""great friend"" Raisi as Middle East expresses solidarity with Iran in ""difficult time"".",president zardari mourns tragic death of pakistans great friend raisi as middle east expresses solidarity with iran in difficult time
https://www.dawn.com/news/1834766/lai-ching-te-from-coal-miners-son-to-taiwan-president,Lai Ching-te: from coal miner’s son to Taiwan president - World - DAWN.COM,"The 64-year-old pledges to ""defend Taiwan’s democracy"" and ""resist Beijing’s claims on the island"".",the yearold pledges to defend taiwans democracy and resist beijings claims on the island
https://www.dawn.com/news/1834631/who-is-mohammad-mokhber-the-man-set-to-become-irans-interim-president,"Who is Mohammad Mokhber, the man set to become Iran’s interim president? - World - DAWN.COM",Mokhber became first vice president in 2021 when Raisi was elected president.,mokhber became first vice president in  when raisi was elected president
https://aurora.dawn.com/news/1145118,Are Inflation and Brand Boycotts Changing Your Shopping Habits? - Aurora,Help us find out by taking this survey!,help us find out by taking this survey
